Date,Open,High,Low,Close,Adj Close,Volume
2010-12-27,36.139999,36.349998,36.049999,36.230000,27.407795,4339800
2010-12-28,36.369999,36.439999,36.099998,36.200001,27.385103,5419700
2010-12-29,36.250000,36.349998,36.169998,36.209999,27.392664,5003000
2010-12-30,36.110001,36.200001,35.970001,36.009998,27.241371,5113700
2010-12-31,35.959999,36.250000,35.930000,36.040001,27.264067,5491800
2011-01-03,36.290001,36.779999,35.990002,36.040001,27.264067,19559500
2011-01-04,36.240002,36.400002,35.849998,36.349998,27.498564,13926100
2011-01-05,36.040001,36.580002,36.000000,36.560001,27.657444,14520300
2011-01-06,36.560001,37.139999,36.560001,37.060001,28.035681,11990300
2011-01-07,37.169998,37.349998,36.860001,37.349998,28.255070,12753500
2011-01-10,37.259998,37.619999,37.160000,37.200001,28.141596,10723700
2011-01-11,37.240002,37.320000,36.700001,36.950001,27.952473,10234600
2011-01-12,37.200001,37.240002,36.919998,37.150002,28.103779,12888900
2011-01-13,35.590000,35.779999,34.509998,34.689999,26.242796,74294400
2011-01-14,34.630001,34.750000,34.119999,34.230000,25.894808,41751400
2011-01-18,34.070000,34.299999,33.480000,33.869999,25.622471,58975000
2011-01-19,34.119999,34.150002,33.700001,33.910000,25.652733,29746600
2011-01-20,33.799999,34.139999,33.720001,34.049999,25.758636,21608000
2011-01-21,34.180000,34.220001,33.880001,33.900002,25.645168,20782300
2011-01-24,33.990002,33.990002,33.770000,33.799999,25.569513,19633500
2011-01-25,33.770000,33.849998,33.290001,33.360001,25.236658,32620000
2011-01-26,33.410000,33.730000,33.180000,33.200001,25.115622,26162400
2011-01-27,33.349998,33.430000,33.240002,33.250000,25.153440,15474900
2011-01-28,33.490002,33.529999,33.000000,33.070000,25.017273,16151900
2011-01-31,33.290001,33.299999,33.070000,33.169998,25.092922,14156900
2011-02-01,33.340000,34.040001,32.900002,34.000000,25.720814,21406500
2011-02-02,33.900002,34.029999,33.599998,33.820000,25.584642,13791500
2011-02-03,32.990002,33.090000,32.509998,32.900002,24.888678,40238900
2011-02-04,32.889999,33.119999,32.779999,32.889999,24.881104,25272800
2011-02-07,32.939999,33.029999,32.740002,33.000000,24.964319,14480300
2011-02-08,33.150002,33.299999,33.049999,33.270000,25.168573,11868200
2011-02-09,33.230000,33.290001,32.919998,33.090000,25.032408,14152300
2011-02-10,33.119999,33.139999,32.889999,33.040001,24.994579,10835300
2011-02-11,32.970001,33.130001,32.860001,33.070000,25.017273,10684000
2011-02-14,32.970001,33.020000,32.750000,32.820000,24.828156,12422700
2011-02-15,32.799999,32.820000,32.650002,32.790001,24.805462,16951200
2011-02-16,32.740002,33.189999,32.680000,32.959999,24.934052,14082200
2011-02-17,32.959999,33.150002,32.700001,33.099998,25.039967,10950000
2011-02-18,33.060001,33.209999,32.799999,32.849998,24.850842,17023300
2011-02-22,32.750000,32.799999,32.259998,32.340000,24.465034,17757800
2011-02-23,32.520000,32.610001,32.040001,32.090000,24.275908,16776200
2011-02-24,32.080002,32.160000,31.850000,32.029999,24.230524,13942900
2011-02-25,32.060001,32.259998,32.000000,32.189999,24.351557,8972500
2011-02-28,32.200001,32.610001,32.189999,32.570000,24.639027,16670700
2011-03-01,32.599998,32.980000,32.439999,32.459999,24.555813,22146000
2011-03-02,32.450001,32.689999,32.299999,32.580002,24.646599,12424500
2011-03-03,32.669998,33.250000,32.619999,33.099998,25.039967,37959400
2011-03-04,33.150002,33.360001,32.840000,33.060001,25.009712,38800800
2011-03-07,33.000000,33.060001,32.720001,32.830002,24.835716,38542000
2011-03-08,32.980000,33.090000,32.820000,32.980000,24.949192,11549400
2011-03-09,32.910000,33.480000,32.910000,33.290001,25.183704,13601000
2011-03-10,33.209999,33.259998,32.840000,32.900002,24.888678,15329300
2011-03-11,32.470001,32.910000,32.470001,32.730000,25.049389,12258300
2011-03-14,32.500000,32.599998,32.250000,32.380001,24.781527,13789600
2011-03-15,31.830000,32.040001,31.709999,31.860001,24.383551,16131300
2011-03-16,31.799999,31.860001,31.059999,31.080000,23.786592,23150900
2011-03-17,31.260000,31.620001,31.160000,31.440001,24.062109,13708600
2011-03-18,31.780001,31.980000,31.660000,31.910000,24.421818,19479800
2011-03-21,32.090000,32.580002,32.040001,32.389999,24.789175,15263200
2011-03-22,32.520000,32.759998,32.459999,32.529999,24.896320,16482100
2011-03-23,32.500000,32.669998,32.410000,32.630001,24.972858,12314400
2011-03-24,32.830002,32.900002,32.540001,32.720001,25.041735,11484200
2011-03-25,32.720001,32.900002,32.540001,32.570000,24.926939,10559200
2011-03-28,32.540001,32.650002,32.389999,32.450001,24.835096,9056800
2011-03-29,32.490002,32.799999,32.419998,32.779999,25.087664,9921600
2011-03-30,33.029999,33.480000,33.009998,33.299999,25.485636,17249100
2011-03-31,33.070000,33.380001,33.000000,33.009998,25.263689,12613000
2011-04-01,33.049999,33.250000,33.000000,33.070000,25.309599,11444000
2011-04-04,33.340000,33.369999,33.209999,33.270000,25.462671,11518000
2011-04-05,33.139999,33.230000,33.009998,33.160000,25.378487,9242300
2011-04-06,33.279999,33.450001,33.150002,33.349998,25.523893,13041900
2011-04-07,33.430000,33.430000,33.060001,33.330002,25.508593,12575100
2011-04-08,33.500000,33.700001,33.400002,33.669998,25.768810,18385100
2011-04-11,33.680000,33.849998,33.509998,33.590000,25.707573,11182600
2011-04-12,33.419998,33.770000,33.389999,33.560001,25.684618,14580200
2011-04-13,33.619999,33.650002,33.369999,33.470001,25.615742,7823900
2011-04-14,33.340000,34.040001,33.270000,33.860001,25.914211,15020000
2011-04-15,34.900002,34.970001,34.450001,34.509998,26.411682,36904800
2011-04-18,34.200001,34.290001,33.849998,33.930000,25.967791,17788700
2011-04-19,33.939999,34.110001,33.520000,33.750000,25.830032,15193200
2011-04-20,34.070000,34.230000,33.950001,34.040001,26.051975,14220700
2011-04-21,34.270000,34.290001,33.959999,34.040001,26.051975,15809000
2011-04-25,33.700001,34.400002,33.630001,34.330002,26.273926,9626200
2011-04-26,34.439999,35.160000,34.389999,35.060001,26.832621,21500000
2011-04-27,35.200001,35.740002,35.049999,35.630001,27.268864,20382500
2011-04-28,35.639999,35.799999,35.459999,35.770000,27.376007,13451300
2011-04-29,35.980000,36.250000,35.630001,35.950001,27.513769,18935000
2011-05-02,36.439999,36.580002,36.180000,36.310001,27.789293,18387300
2011-05-03,36.240002,36.639999,36.070000,36.410000,27.865816,17721100
2011-05-04,36.360001,36.750000,36.270000,36.560001,27.980621,17399100
2011-05-05,36.450001,36.639999,36.169998,36.250000,27.743364,16487800
2011-05-06,36.529999,36.750000,36.290001,36.389999,27.850519,12773600
